Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Paraguay,Latin America and Caribbean,57,5.977,1.398,1.408,0.549,0.788,0.065,0.131,1.637,2024,😑,-23.3165935,-58.1693445,6.9,28.0,18.0,26.0,65.0,7.0,71.0,77.0
Thailand,Southeast Asia,58,5.976,1.484,1.347,0.62,0.756,0.024,0.283,1.463,2024,😑,7.4931858,124.724704,71.9,15.0,11.0,17.0,68.0,17.0,76.0,84.0
Malaysia,Southeast Asia,59,5.975,1.646,1.143,0.54,0.829,0.119,0.226,1.473,2024,😑,4.5693754,102.2656823,34.7,22.0,15.0,23.0,70.0,8.0,74.0,79.0
China,East Asia,60,5.973,1.497,1.239,0.629,0.704,0.164,0.132,1.608,2024,😑,35.000074,104.999927,1425.2,16.0,12.0,18.0,69.0,15.0,76.0,82.0
Honduras,Latin America and Caribbean,61,5.968,1.091,1.035,0.502,0.72,0.081,0.175,2.364,2024,😑,15.2572432,-86.0755145,10.8,29.0,19.0,29.0,66.0,5.0,71.0,76.0
Bahrain,Middle East and North Africa,62,5.959,1.0528089683724000,1.0536016878616700,0.5781719451213200,0.4665502520044420,0.1343054408313920,0.191616229732276,1.993702602386480,2024,😑,26.1551249,50.5344606,1.5,20.0,13.0,18.0,76.0,4.0,80.0,82.0
Croatia,Central and Eastern Europe,63,5.942,1.71,1.445,0.637,0.469,0.043,0.064,1.574,2024,😑,45.3658443,15.6575209,4.0,14.0,10.0,15.0,63.0,23.0,77.0,82.0
Greece,Western Europe,64,5.934,1.684,1.276,0.696,0.337,0.093,0.018,1.83,2024,😑,43.2097838,-77.6930602,10.3,13.0,10.0,16.0,63.0,24.0,80.0,85.0
Bosnia and Herzegovina,Central and Eastern Europe,65,5.877,1.465,1.318,0.587,0.621,0.0,0.246,1.64,2024,😑,44.3053476,17.5961467,3.2,15.0,10.0,16.0,66.0,19.0,76.0,80.0
Libya,Middle East and North Africa,66,5.866,1.526,1.1,0.55,0.592,0.204,0.111,1.785,2024,😑,26.8234472,18.1236723,7.0,27.0,19.0,28.0,68.0,5.0,70.0,77.0
